Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value
Bahrain,1981,All genders,15-24 year olds,Percent,86.29309
Bahrain,1981,Female,15-24 year olds,Percent,82.07742274
Bangladesh,2012,Female,15-24 year olds,Percent,81.91162
Bangladesh,2012,All genders,15-24 year olds,Percent,79.93943
Bangladesh,2012,Male,15-24 year olds,Percent,78.00684
Bangladesh,2001,Male,15-24 year olds,Percent,67.16380966
Bangladesh,2001,All genders,15-24 year olds,Percent,63.6227346
Bangladesh,2001,Female,15-24 year olds,Percent,60.2562288
Bangladesh,1991,Female,15-24 year olds,Percent,37.98974561
Bangladesh,1991,Male,15-24 year olds,Percent,51.73673488
Bangladesh,1991,All genders,15-24 year olds,Percent,44.68082553
Bangladesh,1981,All genders,15-24 year olds,Percent,35.65324724
Bangladesh,1981,Female,15-24 year olds,Percent,27.15100912
Bangladesh,1981,Male,15-24 year olds,Percent,44.36215914
Belarus,2009,Male,15-24 year olds,Percent,99.80032664
Belarus,2009,Female,15-24 year olds,Percent,99.84739484
Belarus,2009,All genders,15-24 year olds,Percent,99.82321348
Belarus,1999,All genders,15-24 year olds,Percent,99.7918421
Belarus,1999,Female,15-24 year olds,Percent,99.82820954
Belarus,1999,Male,15-24 year olds,Percent,99.75687428
Belarus,1989,Male,15-24 year olds,Percent,99.73197565
Belarus,1989,All genders,15-24 year olds,Percent,99.76628353
Belarus,1989,Female,15-24 year olds,Percent,99.80054236
Belize,1991,Female,15-24 year olds,Percent,76.70194888
Belize,1991,Male,15-24 year olds,Percent,76.13616058
Belize,1991,All genders,15-24 year olds,Percent,76.42047559
Benin,2006,Female,15-24 year olds,Percent,30.78655235
Benin,2006,All genders,15-24 year olds,Percent,42.36270388
Benin,2006,Male,15-24 year olds,Percent,54.86693864
Benin,2002,Male,15-24 year olds,Percent,59.20507988
Benin,2002,Female,15-24 year olds,Percent,33.23800182
Benin,2002,All genders,15-24 year olds,Percent,45.3096249
Benin,1992,All genders,15-24 year olds,Percent,39.87661252
Benin,1992,Female,15-24 year olds,Percent,26.69029136
Benin,1992,Male,15-24 year olds,Percent,55.1302191
Benin,1979,Male,15-24 year olds,Percent,45.7106433
Benin,1979,All genders,15-24 year olds,Percent,29.78674335
Benin,1979,Female,15-24 year olds,Percent,18.25518393
Bhutan,2005,Female,15-24 year olds,Percent,67.96426105
Bhutan,2005,All genders,15-24 year olds,Percent,74.40520688
Bhutan,2005,Male,15-24 year olds,Percent,80.04192495
Bolivia,2012,All genders,15-24 year olds,Percent,98.99588481
Bolivia,2012,Male,15-24 year olds,Percent,99.16244835
Bolivia,2012,Female,15-24 year olds,Percent,98.82861298
Bolivia,2011,Female,15-24 year olds,Percent,98.77201902
Bolivia,2011,All genders,15-24 year olds,Percent,99.00752061
Bolivia,2011,Male,15-24 year olds,Percent,99.24662884
Bolivia,2009,Male,15-24 year olds,Percent,99.69364094
Bolivia,2009,Female,15-24 year olds,Percent,99.0843005
Bolivia,2009,All genders,15-24 year olds,Percent,99.38397402
Bolivia,2008,All genders,15-24 year olds,Percent,99.12249885
Bolivia,2008,Female,15-24 year olds,Percent,98.87941258
Bolivia,2008,Male,15-24 year olds,Percent,99.3902301
Bolivia,2007,Male,15-24 year olds,Percent,99.75360949
Bolivia,2007,All genders,15-24 year olds,Percent,99.44135796
Bolivia,2007,Female,15-24 year olds,Percent,99.14457902
Bolivia,2001,Female,15-24 year olds,Percent,96.11461933
Bolivia,2001,All genders,15-24 year olds,Percent,97.32378032
Bolivia,2001,Male,15-24 year olds,Percent,98.54929121
Bolivia,1992,Male,15-24 year olds,Percent,96.31840594
Bolivia,1992,All genders,15-24 year olds,Percent,93.89611262
Bolivia,1992,Female,15-24 year olds,Percent,91.56598071
Bolivia,1976,Female,15-24 year olds,Percent,75.84014493
Bolivia,1976,All genders,15-24 year olds,Percent,83.55197987
Bolivia,1976,Male,15-24 year olds,Percent,91.46814417
Bosnia and Herzegovina,2012,All genders,15-24 year olds,Percent,99.68309
Bosnia and Herzegovina,2012,Male,15-24 year olds,Percent,99.6792
Bosnia and Herzegovina,2012,Female,15-24 year olds,Percent,99.68727
Bosnia and Herzegovina,2000,Male,15-24 year olds,Percent,99.74820144
Bosnia and Herzegovina,2000,All genders,15-24 year olds,Percent,99.79393031
Bosnia and Herzegovina,2000,Female,15-24 year olds,Percent,99.84362783
Botswana,2012,Female,15-24 year olds,Percent,97.89585
Botswana,2012,All genders,15-24 year olds,Percent,96.0374
Botswana,2012,Male,15-24 year olds,Percent,94.2046
Botswana,2003,Male,15-24 year olds,Percent,92.08330541
Botswana,2003,Female,15-24 year olds,Percent,95.59601938
Botswana,2003,All genders,15-24 year olds,Percent,93.95744104
Botswana,1991,Female,15-24 year olds,Percent,92.25187633
Botswana,1991,Male,15-24 year olds,Percent,85.9000679
Botswana,1991,All genders,15-24 year olds,Percent,89.25829854
Brazil,2012,All genders,15-24 year olds,Percent,98.61661576
Brazil,2012,Male,15-24 year olds,Percent,98.22435541
Brazil,2012,Female,15-24 year olds,Percent,99.01782424
Brazil,2011,Female,15-24 year olds,Percent,99.07314524
Brazil,2011,All genders,15-24 year olds,Percent,98.48691768
Brazil,2011,Male,15-24 year olds,Percent,97.9099948
Brazil,2010,Male,15-24 year olds,Percent,96.71616589
Brazil,2010,Female,15-24 year olds,Percent,98.31873712
Brazil,2010,All genders,15-24 year olds,Percent,97.51412486
Brazil,2009,All genders,15-24 year olds,Percent,98.06553602
Brazil,2009,Female,15-24 year olds,Percent,98.69204142
Brazil,2009,Male,15-24 year olds,Percent,97.44571975
Brazil,2008,Male,15-24 year olds,Percent,97.18046359
Brazil,2008,Female,15-24 year olds,Percent,98.53110913
Brazil,2008,All genders,15-24 year olds,Percent,97.84362979
Brazil,2007,Female,15-24 year olds,Percent,98.5594285
Brazil,2007,All genders,15-24 year olds,Percent,97.80063012
Brazil,2007,Male,15-24 year olds,Percent,97.05687541
Brazil,2006,Male,15-24 year olds,Percent,96.79700476
Brazil,2006,All genders,15-24 year olds,Percent,97.58229825
Brazil,2006,Female,15-24 year olds,Percent,98.3616589
Brazil,2004,Female,15-24 year olds,Percent,97.90385807
Brazil,2004,All genders,15-24 year olds,Percent,96.84385989
Brazil,2004,Male,15-24 year olds,Percent,95.78389406
Brazil,2000,Male,15-24 year olds,Percent,92.65401397
Brazil,2000,Female,15-24 year olds,Percent,95.7190151
Brazil,2000,All genders,15-24 year olds,Percent,94.18411488
Brazil,1980,All genders,15-24 year olds,Percent,83.91426755
Brazil,1980,Male,15-24 year olds,Percent,82.55676427
Brazil,1980,Female,15-24 year olds,Percent,85.23654976
Brunei Darussalam,2012,Male,15-24 year olds,Percent,99.8104
Brunei Darussalam,2012,All genders,15-24 year olds,Percent,99.78067
Brunei Darussalam,2012,Female,15-24 year olds,Percent,99.74885
Brunei Darussalam,2001,All genders,15-24 year olds,Percent,98.89378705
Brunei Darussalam,2001,Male,15-24 year olds,Percent,98.87430282
Brunei Darussalam,2001,Female,15-24 year olds,Percent,98.91217149
Brunei Darussalam,1991,Female,15-24 year olds,Percent,98.08379207
Brunei Darussalam,1991,Male,15-24 year olds,Percent,98.10690423
Brunei Darussalam,1991,All genders,15-24 year olds,Percent,98.09566621
Brunei Darussalam,1981,Female,15-24 year olds,Percent,93.23891502
Brunei Darussalam,1981,All genders,15-24 year olds,Percent,93.68100583
Brunei Darussalam,1981,Male,15-24 year olds,Percent,94.06430338
Bulgaria,2011,Male,15-24 year olds,Percent,98.06692851
Bulgaria,2011,All genders,15-24 year olds,Percent,97.86505416
Bulgaria,2011,Female,15-24 year olds,Percent,97.65106177
Bulgaria,2001,Male,15-24 year olds,Percent,98.30966988
Bulgaria,2001,Female,15-24 year olds,Percent,98.1097691
Bulgaria,2001,All genders,15-24 year olds,Percent,98.21247652
Burkina Faso,2007,All genders,15-24 year olds,Percent,39.25778015
Burkina Faso,2007,Female,15-24 year olds,Percent,33.12532489
Burkina Faso,2007,Male,15-24 year olds,Percent,46.73374183
Burkina Faso,2006,Male,15-24 year olds,Percent,39.82186552
Burkina Faso,2006,All genders,15-24 year olds,Percent,32.73060136
Burkina Faso,2006,Female,15-24 year olds,Percent,26.53412352
Burkina Faso,2005,Female,15-24 year olds,Percent,26.48289765
Burkina Faso,2005,All genders,15-24 year olds,Percent,32.96661842
Burkina Faso,2005,Male,15-24 year olds,Percent,40.37980516
Burkina Faso,2003,Male,15-24 year olds,Percent,38.3810866
Burkina Faso,2003,All genders,15-24 year olds,Percent,31.22926016
Burkina Faso,2003,Female,15-24 year olds,Percent,24.81137103
Burkina Faso,1996,All genders,15-24 year olds,Percent,19.41415165
Burkina Faso,1996,Male,15-24 year olds,Percent,25.47826207
Burkina Faso,1996,Female,15-24 year olds,Percent,13.98534264
Burkina Faso,1991,Female,15-24 year olds,Percent,14.17374551
Burkina Faso,1991,Male,15-24 year olds,Percent,26.788801
Burkina Faso,1991,All genders,15-24 year olds,Percent,20.18028878
Burkina Faso,1975,Female,15-24 year olds,Percent,6.664056705
Burkina Faso,1975,Male,15-24 year olds,Percent,22.37712625
Burkina Faso,1975,All genders,15-24 year olds,Percent,14.37751762
Burundi,2008,All genders,15-24 year olds,Percent,88.88636685
Burundi,2008,Male,15-24 year olds,Percent,89.59275432
Burundi,2008,Female,15-24 year olds,Percent,88.11345376
Burundi,2000,Female,15-24 year olds,Percent,70.3652968
Burundi,2000,Male,15-24 year olds,Percent,76.78002125
Burundi,2000,All genders,15-24 year olds,Percent,73.33005894
Burundi,1990,Male,15-24 year olds,Percent,59.49784114
Burundi,1990,Female,15-24 year olds,Percent,48.01126172
Burundi,1990,All genders,15-24 year olds,Percent,53.55520606
Burundi,1979,All genders,15-24 year olds,Percent,30.97658554
Burundi,1979,Female,15-24 year olds,Percent,21.48686047
Burundi,1979,Male,15-24 year olds,Percent,40.93199227
Cambodia,2009,Male,15-24 year olds,Percent,88.35612053
Cambodia,2009,Female,15-24 year olds,Percent,85.86867572
Cambodia,2009,All genders,15-24 year olds,Percent,87.13245796
Cambodia,2008,All genders,15-24 year olds,Percent,87.47137741
Cambodia,2008,Male,15-24 year olds,Percent,89.38368417
Cambodia,2008,Female,15-24 year olds,Percent,85.53456917
Cambodia,2004,Female,15-24 year olds,Percent,78.89599846
Cambodia,2004,Male,15-24 year olds,Percent,87.92010601
Cambodia,2004,All genders,15-24 year olds,Percent,83.38286475
Cambodia,1998,All genders,15-24 year olds,Percent,76.31820677
Cambodia,1998,Male,15-24 year olds,Percent,81.84628583
Cambodia,1998,Female,15-24 year olds,Percent,71.07159336
Cameroon,2010,Female,15-24 year olds,Percent,76.42093338
Cameroon,2010,Male,15-24 year olds,Percent,85.39747653
Cameroon,2010,All genders,15-24 year olds,Percent,80.57444119
Cameroon,2007,All genders,15-24 year olds,Percent,83.13557329
Cameroon,2007,Female,15-24 year olds,Percent,77.48205411
Cameroon,2007,Male,15-24 year olds,Percent,89.41732097
Cameroon,2000,Female,15-24 year olds,Percent,77.96248934
Cameroon,2000,Male,15-24 year olds,Percent,88.42244808
Cameroon,2000,All genders,15-24 year olds,Percent,83.09828596
Cameroon,1976,All genders,15-24 year olds,Percent,68.81703268
Cameroon,1976,Female,15-24 year olds,Percent,59.06318016
Cameroon,1976,Male,15-24 year olds,Percent,79.59164882
Cape Verde,2012,Female,15-24 year olds,Percent,98.39818192
Cape Verde,2012,All genders,15-24 year olds,Percent,98.12896699
Cape Verde,2012,Male,15-24 year olds,Percent,97.87189359
Cape Verde,2004,Male,15-24 year olds,Percent,96.22623
Cape Verde,2004,All genders,15-24 year olds,Percent,97.11496
Cape Verde,2004,Female,15-24 year olds,Percent,98.02903
Cape Verde,1990,All genders,15-24 year olds,Percent,88.16790464
Cape Verde,1990,Male,15-24 year olds,Percent,89.94897497
Cape Verde,1990,Female,15-24 year olds,Percent,86.41509434
Cayman Islands,2007,Female,15-24 year olds,Percent,98.62332696
Cayman Islands,2007,All genders,15-24 year olds,Percent,98.90681936
Cayman Islands,2007,Male,15-24 year olds,Percent,99.14231258
Central African Republic,2010,All genders,15-24 year olds,Percent,36.35626981
Central African Republic,2010,Female,15-24 year olds,Percent,26.97132521
Central African Republic,2010,Male,15-24 year olds,Percent,48.85710034
Central African Republic,2000,Male,15-24 year olds,Percent,72.59475219
Central African Republic,2000,Female,15-24 year olds,Percent,49.019348
Central African Republic,2000,All genders,15-24 year olds,Percent,60.80705009
Central African Republic,1988,All genders,15-24 year olds,Percent,48.20232916
Central African Republic,1988,Male,15-24 year olds,Percent,62.56144811
Central African Republic,1988,Female,15-24 year olds,Percent,34.85174876
Central African Republic,1975,Female,15-24 year olds,Percent,17.97108598
Central African Republic,1975,Male,15-24 year olds,Percent,53.99043091
Central African Republic,1975,All genders,15-24 year olds,Percent,34.51244396
Chad,2012,Male,15-24 year olds,Percent,53.79584
Chad,2012,All genders,15-24 year olds,Percent,48.92033
Chad,2012,Female,15-24 year olds,Percent,43.99729
Chad,2004,Male,15-24 year olds,Percent,53.70823146
Chad,2004,Female,15-24 year olds,Percent,30.77490775
Chad,2004,All genders,15-24 year olds,Percent,41.67312161
Chad,2000,Male,15-24 year olds,Percent,55.68619587
Chad,2000,All genders,15-24 year olds,Percent,37.55735313
Chad,2000,Female,15-24 year olds,Percent,23.23540258
Chad,1993,Female,15-24 year olds,Percent,8.945835597
Chad,1993,All genders,15-24 year olds,Percent,17.34737807
Chad,1993,Male,15-24 year olds,Percent,26.24622604
Chile,2009,All genders,15-24 year olds,Percent,98.87237876
Chile,2009,Male,15-24 year olds,Percent,98.85938361
Chile,2009,Female,15-24 year olds,Percent,98.89001817
Chile,2008,Male,15-24 year olds,Percent,99.11451982
Chile,2008,All genders,15-24 year olds,Percent,99.15357953
Chile,2008,Female,15-24 year olds,Percent,99.19581276
Chile,2002,All genders,15-24 year olds,Percent,98.9909793
Chile,2002,Male,15-24 year olds,Percent,98.8036365
Chile,2002,Female,15-24 year olds,Percent,99.18333644
Chile,1992,Female,15-24 year olds,Percent,98.70086383
Chile,1992,All genders,15-24 year olds,Percent,98.42796705
Chile,1992,Male,15-24 year olds,Percent,98.15645041
Chile,1982,Male,15-24 year olds,Percent,96.18222304
Chile,1982,All genders,15-24 year olds,Percent,96.65398424
Chile,1982,Female,15-24 year olds,Percent,97.11653247
China,2010,All genders,15-24 year olds,Percent,99.64229029
China,2010,Female,15-24 year olds,Percent,99.59303869
China,2010,Male,15-24 year olds,Percent,99.68961915
China,2000,Male,15-24 year olds,Percent,99.19846005
China,2000,All genders,15-24 year olds,Percent,98.85873002
China,2000,Female,15-24 year olds,Percent,98.50486323
China,1990,All genders,15-24 year olds,Percent,94.28147318
China,1990,Male,15-24 year olds,Percent,96.97693295
China,1990,Female,15-24 year olds,Percent,91.45470238
China,1982,Female,15-24 year olds,Percent,82.09922014
China,1982,Male,15-24 year olds,Percent,95.20853762
China,1982,All genders,15-24 year olds,Percent,88.7733363
Colombia,2011,All genders,15-24 year olds,Percent,98.2393694
Colombia,2011,Male,15-24 year olds,Percent,97.76045048
Colombia,2011,Female,15-24 year olds,Percent,98.72433992
Colombia,2010,Female,15-24 year olds,Percent,98.51719821
Colombia,2010,Male,15-24 year olds,Percent,97.68272049
Colombia,2010,All genders,15-24 year olds,Percent,98.09841843
Colombia,2009,Male,15-24 year olds,Percent,97.44112896
Colombia,2009,All genders,15-24 year olds,Percent,97.93743116
Colombia,2009,Female,15-24 year olds,Percent,98.43471919
Colombia,2008,Female,15-24 year olds,Percent,98.42686716
Colombia,2008,Male,15-24 year olds,Percent,97.54665965
Colombia,2008,All genders,15-24 year olds,Percent,97.9892699
Colombia,2007,All genders,15-24 year olds,Percent,97.96862807
Colombia,2007,Male,15-24 year olds,Percent,97.48287803
Colombia,2007,Female,15-24 year olds,Percent,98.41899806
Colombia,2006,Female,15-24 year olds,Percent,98.19490545
Colombia,2006,Male,15-24 year olds,Percent,97.53365987
Colombia,2006,All genders,15-24 year olds,Percent,97.88317301
Colombia,2005,All genders,15-24 year olds,Percent,97.95840219
Colombia,2005,Male,15-24 year olds,Percent,97.51702521
Colombia,2005,Female,15-24 year olds,Percent,98.37486744
Colombia,2004,Male,15-24 year olds,Percent,97.5525244
Colombia,2004,All genders,15-24 year olds,Percent,97.99131022
Colombia,2004,Female,15-24 year olds,Percent,98.41067557
Colombia,1996,All genders,15-24 year olds,Percent,96.99500213
Colombia,1996,Male,15-24 year olds,Percent,96.38511901
Colombia,1996,Female,15-24 year olds,Percent,97.56674027
Colombia,1993,Female,15-24 year olds,Percent,91.84652812
Colombia,1993,Male,15-24 year olds,Percent,89.37749509
Colombia,1993,All genders,15-24 year olds,Percent,90.52465124
Comoros,2012,All genders,15-24 year olds,Percent,86.41433
Comoros,2012,Male,15-24 year olds,Percent,86.31325
Comoros,2012,Female,15-24 year olds,Percent,86.51807
Comoros,2000,Male,15-24 year olds,Percent,83.95133256
Comoros,2000,All genders,15-24 year olds,Percent,80.18575851
Comoros,2000,Female,15-24 year olds,Percent,77.55762232
Comoros,1980,Female,15-24 year olds,Percent,54.89903546
Comoros,1980,Male,15-24 year olds,Percent,69.35772674
Comoros,1980,All genders,15-24 year olds,Percent,61.71301732
Congo,2011,Male,15-24 year olds,Percent,85.68360537
Congo,2011,All genders,15-24 year olds,Percent,80.9139517
Congo,2011,Female,15-24 year olds,Percent,76.94607781
Costa Rica,2011,Male,15-24 year olds,Percent,99.00768483
Costa Rica,2011,All genders,15-24 year olds,Percent,99.13370342
Costa Rica,2011,Female,15-24 year olds,Percent,99.25811686
Costa Rica,2000,Female,15-24 year olds,Percent,98.03840889
Costa Rica,2000,All genders,15-24 year olds,Percent,97.61469588
Costa Rica,2000,Male,15-24 year olds,Percent,97.19749352
Costa Rica,1984,Male,15-24 year olds,Percent,96.75452466
Costa Rica,1984,All genders,15-24 year olds,Percent,97.14819395
Costa Rica,1984,Female,15-24 year olds,Percent,97.53812933
Côte d'Ivoire,2012,All genders,15-24 year olds,Percent,48.30995824
Côte d'Ivoire,2012,Male,15-24 year olds,Percent,58.33262809
Côte d'Ivoire,2012,Female,15-24 year olds,Percent,38.75008128
Côte d'Ivoire,2000,All genders,15-24 year olds,Percent,60.72365445
Côte d'Ivoire,2000,Female,15-24 year olds,Percent,52.12516734
Côte d'Ivoire,2000,Male,15-24 year olds,Percent,70.84071668
Côte d'Ivoire,1998,Male,15-24 year olds,Percent,54.40312929
Côte d'Ivoire,1998,Female,15-24 year olds,Percent,39.84909459
Côte d'Ivoire,1998,All genders,15-24 year olds,Percent,47.05871294
Côte d'Ivoire,1988,Male,15-24 year olds,Percent,59.93224733
Côte d'Ivoire,1988,All genders,15-24 year olds,Percent,48.50847665
Côte d'Ivoire,1988,Female,15-24 year olds,Percent,37.84594153
Croatia,2011,Female,15-24 year olds,Percent,99.735717
Croatia,2011,Male,15-24 year olds,Percent,99.71204422
Croatia,2011,All genders,15-24 year olds,Percent,99.72362529
Croatia,2001,All genders,15-24 year olds,Percent,99.64864153
Croatia,2001,Male,15-24 year olds,Percent,99.64425979
Croatia,2001,Female,15-24 year olds,Percent,99.65320892
Croatia,1991,Male,15-24 year olds,Percent,99.66618314
Croatia,1991,All genders,15-24 year olds,Percent,99.6358923
Croatia,1991,Female,15-24 year olds,Percent,99.60440392
Cuba,2012,All genders,15-24 year olds,Percent,99.98633
Cuba,2012,Male,15-24 year olds,Percent,99.98842
Cuba,2012,Female,15-24 year olds,Percent,99.98413
Cuba,2002,Female,15-24 year olds,Percent,99.9536914
Cuba,2002,Male,15-24 year olds,Percent,99.95740613
Cuba,2002,All genders,15-24 year olds,Percent,99.95560368
Cuba,1981,All genders,15-24 year olds,Percent,99.56856856
Cyprus,2011,All genders,15-24 year olds,Percent,99.82098607
Cyprus,2011,Male,15-24 year olds,Percent,99.80454237
Cyprus,2011,Female,15-24 year olds,Percent,99.83831163
Cyprus,2001,Male,15-24 year olds,Percent,99.73630832
Cyprus,2001,All genders,15-24 year olds,Percent,99.77493173
Cyprus,2001,Female,15-24 year olds,Percent,99.81524249
Cyprus,1992,Female,15-24 year olds,Percent,99.66419777
Cyprus,1992,All genders,15-24 year olds,Percent,99.62139416
Cyprus,1992,Male,15-24 year olds,Percent,99.57990952
Democratic People's Republic of Korea,2008,Male,15-24 year olds,Percent,99.99959822
Democratic People's Republic of Korea,2008,All genders,15-24 year olds,Percent,99.99969181
Democratic People's Republic of Korea,2008,Female,15-24 year olds,Percent,99.99978976
Democratic Republic of the Congo,2007,Female,15-24 year olds,Percent,53.25022016
Democratic Republic of the Congo,2007,Male,15-24 year olds,Percent,78.93641841
Democratic Republic of the Congo,2007,All genders,15-24 year olds,Percent,65.77652815
Democratic Republic of the Congo,2001,Male,15-24 year olds,Percent,77.9811098
Democratic Republic of the Congo,2001,All genders,15-24 year olds,Percent,70.41626331
Democratic Republic of the Congo,2001,Female,15-24 year olds,Percent,63.09070122
Dominican Republic,2013,All genders,15-24 year olds,Percent,97.47243226
Dominican Republic,2013,Male,15-24 year olds,Percent,96.76269875
Dominican Republic,2013,Female,15-24 year olds,Percent,98.25252026
Dominican Republic,2012,Male,15-24 year olds,Percent,96.32187328
Dominican Republic,2012,All genders,15-24 year olds,Percent,97.02388664
Dominican Republic,2012,Female,15-24 year olds,Percent,97.76922946
Dominican Republic,2011,All genders,15-24 year olds,Percent,97.04190633
Dominican Republic,2011,Male,15-24 year olds,Percent,96.09168726
Dominican Republic,2011,Female,15-24 year olds,Percent,98.05364314
Dominican Republic,2010,Female,15-24 year olds,Percent,97.88348685
Dominican Republic,2010,Male,15-24 year olds,Percent,95.77529602
Dominican Republic,2010,All genders,15-24 year olds,Percent,96.80575124
Dominican Republic,2007,Male,15-24 year olds,Percent,94.62720859
Dominican Republic,2007,All genders,15-24 year olds,Percent,95.78686486
Dominican Republic,2007,Female,15-24 year olds,Percent,96.93072916
Dominican Republic,2002,Female,15-24 year olds,Percent,95.41704589
Dominican Republic,2002,All genders,15-24 year olds,Percent,94.21757209
Dominican Republic,2002,Male,15-24 year olds,Percent,92.99863685
Dominican Republic,1981,All genders,15-24 year olds,Percent,82.62419619
Dominican Republic,1981,Male,15-24 year olds,Percent,81.25730657
Dominican Republic,1981,Female,15-24 year olds,Percent,83.93852604
Ecuador,2013,Male,15-24 year olds,Percent,98.5794095
